"filename", "language", "JavaScript", "PostCSS", "JSON", "Dotenv", "JavaScript JSX", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 129, 0, 0, 0, 7, 136
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\season\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 4, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\season\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 155, 0, 0, 3, 8, 166
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\upgrade\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\upgrade\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\profile\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\profile\badges.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 3, 42
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\profile\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 194, 0, 0, 0, 7, 201
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\profile\leaderboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 133, 0, 0, 7, 15, 155
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 171, 0, 0, 0, 10, 181
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\podium\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 4, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\podium\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 198, 0, 0, 9, 17, 224
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\role-select.jsx", "JavaScript JSX", 0, 0, 0, 0, 97, 0, 0, 1, 5, 103
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Abbreviation.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\ExcludedDates.jsx", "JavaScript JSX", 0, 0, 0, 0, 104, 0, 0, 2, 9, 115
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\LeagueConfig.jsx", "JavaScript JSX", 0, 0, 0, 0, 223, 0, 0, 0, 32, 255
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\ManageAddress.jsx", "JavaScript JSX", 0, 0, 0, 0, 159, 0, 0, 0, 18, 177
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Notifications.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 1, 5, 70
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\PersonalDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\PlayerManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 102, 0, 0, 1, 7, 110
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Privacy.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 1, 5, 59
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\SignInAndSecurity.jsx", "JavaScript JSX", 0, 0, 0, 0, 760, 0, 0, 17, 81, 858
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\StartNewSeason.jsx", "JavaScript JSX", 0, 0, 0, 0, 355, 0, 0, 9, 33, 397
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Subscriptions.jsx", "JavaScript JSX", 0, 0, 0, 0, 178, 0, 0, 1, 24, 203
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\TeamCoverImage.jsx", "JavaScript JSX", 0, 0, 0, 0, 112, 0, 0, 2, 16, 130
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\TeamCrest.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 0, 1, 8, 79
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\TeamDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 121, 0, 0, 0, 11, 132
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\TeamManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 120, 0, 0, 2, 9, 131
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\[playerId].jsx", "JavaScript JSX", 0, 0, 0, 0, 206, 0, 0, 0, 9, 215
