"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "Dotenv", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PlayerStats.jsx", "JavaScript JSX", 0, 0, -152, 0, 0, -4, -156
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PlayersList.jsx", "JavaScript JSX", 0, 0, 12, 0, 2, 3, 17
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PoolRack.jsx", "JavaScript JSX", 0, 0, -40, 0, 0, -7, -47
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\RefreshSpinner.jsx", "JavaScript JSX", 0, 0, 58, 0, 4, 8, 70
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ResultsList.jsx", "JavaScript JSX", 0, 0, 18, 0, -3, 0, 15
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\SafeViewWrapper.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 3, 12
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\SeasonControlCard.jsx", "JavaScript JSX", 0, 0, 114, 0, 4, 13, 131
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\SeasonStats.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 2, 13
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\SettingsItem.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\SlidingTabButton.jsx", "JavaScript JSX", 0, 0, 16, 0, 4, 8, 28
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\StatCard.jsx", "JavaScript JSX", 0, 0, 9, 0, -3, 1, 7
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\StatCardCompare.jsx", "JavaScript JSX", 0, 0, 21, 0, 2, 5, 28
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\TeamProfile.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 5, 80
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\TeamStatsPage.jsx", "JavaScript JSX", 0, 0, 53, 0, 0, 5, 58
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ToggleTransferWindowCard.jsx", "JavaScript JSX", 0, 0, 93, 0, 5, 12, 110
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\TransferWindowCard.jsx", "JavaScript JSX", 0, 0, 71, 0, 1, 10, 82
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\svgs.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\contexts\AppRealtimeProvider.jsx", "JavaScript JSX", 0, 0, 36, 0, 6, 16, 58
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\contexts\SupabaseClientContext.jsx", "JavaScript JSX", 0, 0, -46, 0, -3, -12, -61
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\contexts\UserProvider.jsx", "JavaScript JSX", 0, 0, 25, 0, 10, 8, 43
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\forgot-password.jsx", "JavaScript JSX", 0, 0, -46, 0, -1, -6, -53
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useActiveFrame.jsx", "JavaScript JSX", 0, 0, 52, 0, 5, 14, 71
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useAmendedFixtures.jsx", "JavaScript JSX", 0, 0, 41, 0, 1, 6, 48
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useAuthUserProfile2.jsx", "JavaScript JSX", 0, 0, -100, 0, -1, -8, -109
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useCompetition.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 3, 22
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useCompetitionInstanceDetails.jsx", "JavaScript JSX", 0, 0, 26, 0, 1, 3, 30
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useCompetitionInstances.jsx", "JavaScript JSX", 0, 0, 26, 0, 1, 3, 30
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useCompetitions.jsx", "JavaScript JSX", 0, 0, 18, 0, 1, 3, 22
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useCurrentSubscriptions.jsx", "JavaScript JSX", 0, 0, -71, 0, -2, -15, -88
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useDisputedFixtures.jsx", "JavaScript JSX", 0, 0, 41, 0, 1, 6, 48
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useDivisions.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useFixtureDetails.jsx", "JavaScript JSX", 0, 0, 17, 0, 2, 2, 21
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useFixturesAwaitingResults.jsx", "JavaScript JSX", 0, 0, 55, 0, 2, 8, 65
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useGroupedFixtures.jsx", "JavaScript JSX", 0, 0, 33, 0, 1, 2, 36
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useGroupedResults.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 4, 33
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useIAP.jsx", "JavaScript JSX", 0, 0, -133, 0, -7, -15, -155
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useIAPHook.jsx", "JavaScript JSX", 0, 0, 364, 0, 26, 56, 446
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useKnockoutBracket.jsx", "JavaScript JSX", 0, 0, 36, 0, 1, 9, 46
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useLast5Matches.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -1, -1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useLast5Results.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 1, 5
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\usePlayerLeaderboard.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 4, 25
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\usePlayerLeaderboards.jsx", "JavaScript JSX", 0, 0, -61, 0, -1, -6, -68
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\usePlayerStats.jsx", "JavaScript JSX", 0, 0, -27, 0, 1, -5, -31
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\usePlayersByDistrict.jsx", "JavaScript JSX", 0, 0, 64, 0, 1, 9, 74
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useResultsByFixture.jsx", "JavaScript JSX", 0, 0, -7, 0, 0, 3, -4
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useResultsPendingApproval.jsx", "JavaScript JSX", 0, 0, 18, 0, 1, 3, 22
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useSaveMatchResults.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 9
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useStandings.jsx", "JavaScript JSX", 0, 0, 165, 0, 13, 37, 215
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useSubscription.jsx", "JavaScript JSX", 0, 0, 83, 0, 22, 20, 125
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useTeamLeaderboard.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 4, 25
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useTeamLeaderboards.jsx", "JavaScript JSX", 0, 0, -58, 0, 0, -5, -63
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useTeamPlayers.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 0, 2
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useTeamProfile.jsx", "JavaScript JSX", 0, 0, -1, 0, 0, 0, -1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useTeamStats.jsx", "JavaScript JSX", 0, 0, 62, 0, 4, 9, 75
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useTeamsByDistrict.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 4, 27
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useUpcomingFixtures.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 14
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useUserProfile.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 2, 17
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\lib\helperFunctions.js", "JavaScript", 42, 0, 0, 0, 3, 11, 56
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\login\_layout.jsx", "JavaScript JSX", 0, 0, -28, 0, 0, -5, -33
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\login\login.jsx", "JavaScript JSX", 0, 0, -279, 0, -16, -44, -339
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\login\signup.jsx", "JavaScript JSX", 0, 0, -202, 0, -2, -21, -225
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\reset-password.jsx", "JavaScript JSX", 0, 0, -110, 0, -2, -9, -121
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\role-select.jsx", "JavaScript JSX", 0, 0, -82, 0, -1, -6, -89
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\users.jsx", "JavaScript JSX", 0, 0, -10, 0, 0, -4, -14
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\google-services-dev.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\google-services-prod.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"Total", "-", 57, 2, 7762, 1, 224, 787, 8833
