"filename", "language", "JavaScript", "JSON", "TypeScript", "PostCSS", "Properties", "JavaScript JSX", "JSON with Comments", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FixturesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 159, 0, 4, 12, 175
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FormWidget.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 91, 0, 1, 11, 103
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FramesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 82, 0, 1, 5, 88
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\GradientBall.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\Heading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\HomeScreenCardLarge.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\HorizontalScrollUpcomingFixtures.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 6, 51
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\HorizontalStatBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 2, 8, 85
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\Leaderboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 79, 0, 3, 9, 91
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeagueHomeCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 5, 66
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeagueTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 123, 0, 3, 7, 133
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeagueTableWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 99, 0, 9, 20, 128
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LoadingSplash.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 107, 0, 2, 13, 122
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\MenuContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ModalDropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 11, 7, 102
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ModalWrappedDatePicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 10, 134
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\NavBar2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 132, 0, 3, 16, 151
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PendingResultCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 4, 72
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PlayerCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 129, 0, 1, 10, 140
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PlayerProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 332, 0, 0, 15, 347
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PlayerStats.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 98, 0, 0, 4, 102
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PlayersList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 6, 34
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\Podium.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 134, 0, 4, 10, 148
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PoolRack.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 190, 0, 6, 20, 216
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ResultCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ResultsHomeCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 1, 4, 38
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ResultsTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\SafeViewWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\SelectionSettingsItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\SettingsItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 9, 84
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\Skeletons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 50, 0, 1, 3, 54
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\SlidingTabButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 8, 93
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\StatCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 4, 6, 46
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\StatCardCompare.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 30, 0, 1, 6, 37
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\StepPillGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 5, 61
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\TeamLogo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 6, 84
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\TeamProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 6, 87
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\UpcomingFixtureCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 76, 0, 0, 5, 81
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\svgs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 6, 95
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\contexts\AdminContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\contexts\AppRealtimeProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 2, 11, 76
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\contexts\UserProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 1, 6, 35
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\forgot-password.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 1, 5, 51
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\Countdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 47, 0, 2, 13, 62
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useAuthUserProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 3, 10, 76
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useAuthUserProfile2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 132, 0, 8, 25, 165
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useCachedImage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 50, 0, 3, 12, 65
