"filename", "language", "JSON", "JavaScript", "PostCSS", "TypeScript", "JSON with Comments", "JavaScript JSX", "Dotenv", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BasicPaywall.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 410, 0, 2, 29, 441
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BottomSheetWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 1, 5, 58
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BrandHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CTAButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 8, 87
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CachedImage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CircleButtonRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 8, 71
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CircularProgress.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 50, 0, 2, 5, 57
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ColorPickerGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 4, 14, 102
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ConfirmFramesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 1, 5, 90
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ConfirmModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 64, 0, 1, 5, 70
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CrestEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 229, 0, 3, 13, 245
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CustomDropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 9, 72
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CustomHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 6, 8, 75
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CustomNativeHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 3, 6, 61
